SITE_NAME,SUB_SITE,DATE_OBS,TIME_OBS,C_ADDED,N_ADDED,PEAT_DEPTH,PEAT_TEMP,DISS_CH4_CONC,DISS_CO2_CONC,POREWATER_PH,SITE_COMMENTS,CRTFCN_CODE,REVISION_DATE
'SSA-FEN-FLXTR','9TF11-CON02',23-JUN-1994,1138,0,0,0,15.3,.04,1426.0,6.91,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',23-JUN-1994,1138,0,0,100,16.7,4.32,1690.0,6.91,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',23-JUN-1994,1138,0,0,300,10.4,107.43,2538.0,6.28,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',23-JUN-1994,1138,0,0,400,6.3,183.68,3023.0,6.19,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',23-JUN-1994,1138,0,0,500,2.4,43.02,3296.0,6.1,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',23-JUN-1994,1138,0,0,200,13.6,11.91,1962.0,6.74,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',23-JUN-1994,1138,0,0,50,18.8,.74,1556.0,6.87,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',23-JUN-1994,1316,300,0,0,15.3,.06,161.0,6.72,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',23-JUN-1994,1316,300,0,200,14.8,.84,1945.0,6.82,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',23-JUN-1994,1316,300,0,300,11.4,108.09,2413.0,6.48,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',23-JUN-1994,1316,300,0,400,8.7,276.17,2668.0,5.62,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',23-JUN-1994,1316,300,0,500,6.6,348.12,4392.0,6.27,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',23-JUN-1994,1316,300,0,100,17.0,1.58,2172.0,6.93,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',23-JUN-1994,1316,300,0,50,19.6,1.45,1694.0,6.89,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',23-JUN-1994,1318,0,6,0,16.3,.5,1552.0,7.09,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',23-JUN-1994,1318,0,6,100,17.8,2.74,1930.0,7.02,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',23-JUN-1994,1318,0,6,300,10.2,2.31,1643.0,7.08,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',23-JUN-1994,1318,0,6,400,6.1,157.38,2706.0,6.25,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',23-JUN-1994,1318,0,6,500,3.2,188.52,2897.0,6.41,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',23-JUN-1994,1318,0,6,200,13.6,1.98,2059.0,6.76,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',23-JUN-1994,1318,0,6,50,20.4,.06,1395.0,7.08,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',21-JUL-1994,1200,300,0,0,,3.34,1078.0,6.99,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',21-JUL-1994,1200,0,0,50,,20.21,1415.0,6.93,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',21-JUL-1994,1200,0,0,0,,3.86,1210.0,6.97,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',21-JUL-1994,1200,300,6,500,,576.68,3056.0,6.16,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',21-JUL-1994,1200,300,6,400,,618.63,3017.0,6.08,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',21-JUL-1994,1200,300,6,300,,459.2,2368.0,6.28,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',21-JUL-1994,1200,300,6,200,,120.35,1508.0,6.71,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',21-JUL-1994,1200,300,6,100,,21.23,1402.0,6.9,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',21-JUL-1994,1200,300,6,50,,6.23,1454.0,6.8,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',21-JUL-1994,1200,0,6,100,,26.11,1478.0,6.93,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',21-JUL-1994,1200,0,6,50,,10.28,1269.0,6.85,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',21-JUL-1994,1200,0,6,0,,3.08,994.0,6.93,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',21-JUL-1994,1200,0,0,500,,741.65,3528.0,6.2,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',21-JUL-1994,1200,0,0,400,,715.71,3505.0,6.14,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',21-JUL-1994,1200,0,0,300,,818.56,2985.0,6.12,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',21-JUL-1994,1200,0,0,200,,306.82,2108.0,6.56,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
