DateTime.EST,Depth (m),O2_pct,CO2_pct,GC_N2O_ppm,GC_CH4_ppm,GC_CO2_pct,CO2_2_0cm.pct,CO2_2_50cm.pct,CO2_2_150cm.pct,CO2_2_300cm.pct,CO2_2_500cm.pct
2017-04-13,1.5,19.4,1.62,1.609906076785824,0.7755769236452108,1.589114542295146,-99999,-99999,1.62,-99999,-99999
2017-04-13,3.0,19.0,1.636,3.089147889683854,0.1331694756363411,1.637517285954611,-99999,-99999,-99999,1.636,-99999
2017-04-13,5.0,19.0,1.744,3.08853489253957,0.2024748434713229,1.665105357080486,-99999,-99999,-99999,-99999,1.744
2017-05-03,0.0,20.2,0.044,-99999,-99999,-99999,0.044,-99999,-99999,-99999,-99999
2017-05-03,0.5,19.8,1.237,0.5551376416522799,0.877391542406791,1.350206643226355,-99999,1.237,-99999,-99999,-99999
2017-05-03,1.5,19.6,1.412,0.908247729038603,0.9145576314532685,1.611686857918431,-99999,-99999,1.412,-99999,-99999
2017-05-03,3.0,19.0,1.7,3.088297334586848,0.215284548652875,1.683390111047259,-99999,-99999,-99999,1.7,-99999
2017-05-03,5.0,18.9,1.744,3.189065606264226,0.1299401960276302,1.761080495673281,-99999,-99999,-99999,-99999,1.744
2017-05-25,0.0,20.8,0.054,-99999,-99999,-99999,0.054,-99999,-99999,-99999,-99999
2017-05-25,0.5,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
2017-05-25,1.5,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
2017-05-25,3.0,19.0,1.834,9.818091252825479,0.1635467638485902,1.826554971346761,-99999,-99999,-99999,1.834,-99999
2017-05-25,5.0,18.9,1.788,3.31190704575615,0.2320859711658288,1.803678054267344,-99999,-99999,-99999,-99999,1.788
2017-06-19,0.0,20.8,0.034,-99999,-99999,-99999,0.034,-99999,-99999,-99999,-99999
2017-06-19,0.5,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
2017-06-19,1.5,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
2017-06-19,3.0,20.0,1.776,3.232279833516538,0.1553216579335041,1.84827528004638,-99999,-99999,-99999,1.776,-99999
2017-06-19,5.0,20.1,1.71,2.949898697481548,0.1525981345671836,1.777405339178891,-99999,-99999,-99999,-99999,1.71
2017-07-13,0.0,20.8,0.044,-99999,-99999,-99999,0.044,-99999,-99999,-99999,-99999
2017-07-13,0.5,19.5,1.68,0.7290502485912934,0.9302063169413494,1.718008333037182,-99999,1.68,-99999,-99999,-99999
2017-07-13,1.5,19.1,2.068,1.497913140248088,0.7783685922465964,2.091857547669504,-99999,-99999,2.068,-99999,-99999
2017-07-13,3.0,18.8,1.86,3.085530988462406,0.1872860211134511,2.014487057786511,-99999,-99999,-99999,1.86,-99999
2017-07-13,5.0,19.0,1.78,2.931235923862961,0.1642392236151403,1.892200737699232,-99999,-99999,-99999,-99999,1.78
2017-07-26,0.0,20.7,0.038,-99999,-99999,-99999,0.038,-99999,-99999,-99999,-99999
2017-07-26,0.5,15.2,4.832,-99999,-99999,-99999,-99999,4.832,-99999,-99999,-99999
2017-07-26,1.5,15.5,3.229,-99999,-99999,-99999,-99999,-99999,3.229,-99999,-99999
2017-07-26,3.0,19.0,2.09,-99999,-99999,-99999,-99999,-99999,-99999,2.09,-99999
2017-07-26,5.0,19.1,1.956,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1.956
